CardTypeId,DisplayName,Tier,MinHealth,MaxHealth,MinAttack,MaxAttack,InitialKeyword,AttackFrameAnimationKey,AttackAudioKeys,AttackAudioDelays,AttackAudioVolumes,HitDelays
169,传奇·战弓爆猪,Legendary,,,,,,BattleAttackFusion_169,knifeSlice2;impactWood_light_002;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.64;0.62,0.08;0.24;0.40
170,传奇·战弓爆魔,Legendary,,,,,,BattleAttackFusion_170,knifeSlice2;impactWood_light_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.64;0.70,0.08;0.24;0.40
171,传奇·战弓猪猪,Legendary,,,,,,BattleAttackFusion_171,knifeSlice2;impactWood_light_002;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.64;0.62,0.08;0.24;0.40
172,传奇·战弓猪魔,Legendary,,,,,,BattleAttackFusion_172,knifeSlice2;impactWood_light_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.64;0.70,0.08;0.24;0.40
173,传奇·战弓魔魔,Legendary,,,,,,BattleAttackFusion_173,knifeSlice2;impactWood_light_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.64;0.70,0.08;0.24;0.40
174,传奇·战爆爆爆,Legendary,,,,,,BattleAttackFusion_174,knifeSlice2;explosionCrunch_001;explosionCrunch_001,0.08;0.24;0.40,0.68;0.70;0.66,0.08;0.24;0.40
175,传奇·战爆爆猪,Legendary,,,,,,BattleAttackFusion_175,knifeSlice2;explosionCrunch_001;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.70;0.62,0.08;0.24;0.40
176,传奇·战爆爆魔,Legendary,,,,,,BattleAttackFusion_176,knifeSlice2;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.70;0.70,0.08;0.24;0.40
177,传奇·战爆猪猪,Legendary,,,,,,BattleAttackFusion_177,knifeSlice2;explosionCrunch_001;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.70;0.62,0.08;0.24;0.40
178,传奇·战爆猪魔,Legendary,,,,,,BattleAttackFusion_178,knifeSlice2;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.70;0.70,0.08;0.24;0.40
179,传奇·战爆魔魔,Legendary,,,,,,BattleAttackFusion_179,knifeSlice2;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.70;0.70,0.08;0.24;0.40
180,传奇·战猪猪猪,Legendary,,,,,,BattleAttackFusion_180,knifeSlice2;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.66;0.62,0.08;0.24;0.40
181,传奇·战猪猪魔,Legendary,,,,,,BattleAttackFusion_181,knifeSlice2;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.66;0.70,0.08;0.24;0.40
182,传奇·战猪魔魔,Legendary,,,,,,BattleAttackFusion_182,knifeSlice2;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.66;0.70,0.08;0.24;0.40
183,传奇·弓弓弓弓,Legendary,,,,,,BattleAttackFusion_183,impactWood_light_002;impactWood_light_002,0.12;0.32,0.68;0.64,0.12;0.32
184,传奇·弓弓弓爆,Legendary,,,,,,BattleAttackFusion_184,impactWood_light_002;impactWood_light_002;explosionCrunch_001,0.08;0.24;0.40,0.68;0.64;0.66,0.08;0.24;0.40
185,传奇·弓弓弓猪,Legendary,,,,,,BattleAttackFusion_185,impactWood_light_002;impactWood_light_002;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.64;0.62,0.08;0.24;0.40
186,传奇·弓弓弓魔,Legendary,,,,,,BattleAttackFusion_186,impactWood_light_002;impactWood_light_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.64;0.70,0.08;0.24;0.40
187,传奇·弓弓爆爆,Legendary,,,,,,BattleAttackFusion_187,impactWood_light_002;impactWood_light_002;explosionCrunch_001,0.08;0.24;0.40,0.68;0.64;0.66,0.08;0.24;0.40
188,传奇·弓弓爆猪,Legendary,,,,,,BattleAttackFusion_188,impactWood_light_002;impactWood_light_002;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.64;0.62,0.08;0.24;0.40
189,传奇·弓弓爆魔,Legendary,,,,,,BattleAttackFusion_189,impactWood_light_002;impactWood_light_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.64;0.70,0.08;0.24;0.40
190,传奇·弓弓猪猪,Legendary,,,,,,BattleAttackFusion_190,impactWood_light_002;impactWood_light_002;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.64;0.62,0.08;0.24;0.40
191,传奇·弓弓猪魔,Legendary,,,,,,BattleAttackFusion_191,impactWood_light_002;impactWood_light_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.64;0.70,0.08;0.24;0.40
192,传奇·弓弓魔魔,Legendary,,,,,,BattleAttackFusion_192,impactWood_light_002;impactWood_light_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.64;0.70,0.08;0.24;0.40
193,传奇·弓爆爆爆,Legendary,,,,,,BattleAttackFusion_193,impactWood_light_002;explosionCrunch_001;explosionCrunch_001,0.08;0.24;0.40,0.68;0.70;0.66,0.08;0.24;0.40
194,传奇·弓爆爆猪,Legendary,,,,,,BattleAttackFusion_194,impactWood_light_002;explosionCrunch_001;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.70;0.62,0.08;0.24;0.40
195,传奇·弓爆爆魔,Legendary,,,,,,BattleAttackFusion_195,impactWood_light_002;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.70;0.70,0.08;0.24;0.40
196,传奇·弓爆猪猪,Legendary,,,,,,BattleAttackFusion_196,impactWood_light_002;explosionCrunch_001;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.70;0.62,0.08;0.24;0.40
197,传奇·弓爆猪魔,Legendary,,,,,,BattleAttackFusion_197,impactWood_light_002;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.70;0.70,0.08;0.24;0.40
198,传奇·弓爆魔魔,Legendary,,,,,,BattleAttackFusion_198,impactWood_light_002;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.70;0.70,0.08;0.24;0.40
199,传奇·弓猪猪猪,Legendary,,,,,,BattleAttackFusion_199,impactWood_light_002;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.68;0.66;0.62,0.08;0.24;0.40
200,传奇·弓猪猪魔,Legendary,,,,,,BattleAttackFusion_200,impactWood_light_002;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.66;0.70,0.08;0.24;0.40
201,传奇·弓猪魔魔,Legendary,,,,,,BattleAttackFusion_201,impactWood_light_002;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.68;0.66;0.70,0.08;0.24;0.40
202,传奇·爆爆爆爆,Legendary,,,,,,BattleAttackFusion_202,explosionCrunch_001;explosionCrunch_001,0.12;0.32,0.74;0.70,0.12;0.32
203,传奇·爆爆爆猪,Legendary,,,,,,BattleAttackFusion_203,explosionCrunch_001;explosionCrunch_001;impactPunch_medium_002,0.08;0.24;0.40,0.74;0.70;0.62,0.08;0.24;0.40
204,传奇·爆爆爆魔,Legendary,,,,,,BattleAttackFusion_204,explosionCrunch_001;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.74;0.70;0.70,0.08;0.24;0.40
205,传奇·爆爆猪猪,Legendary,,,,,,BattleAttackFusion_205,explosionCrunch_001;explosionCrunch_001;impactPunch_medium_002,0.08;0.24;0.40,0.74;0.70;0.62,0.08;0.24;0.40
206,传奇·爆爆猪魔,Legendary,,,,,,BattleAttackFusion_206,explosionCrunch_001;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.74;0.70;0.70,0.08;0.24;0.40
207,传奇·爆爆魔魔,Legendary,,,,,,BattleAttackFusion_207,explosionCrunch_001;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.74;0.70;0.70,0.08;0.24;0.40
208,传奇·爆猪猪猪,Legendary,,,,,,BattleAttackFusion_208,explosionCrunch_001;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.74;0.66;0.62,0.08;0.24;0.40
209,传奇·爆猪猪魔,Legendary,,,,,,BattleAttackFusion_209,explosionCrunch_001;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.74;0.66;0.70,0.08;0.24;0.40
210,传奇·爆猪魔魔,Legendary,,,,,,BattleAttackFusion_210,explosionCrunch_001;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.74;0.66;0.70,0.08;0.24;0.40
211,传奇·猪猪猪猪,Legendary,,,,,,BattleAttackFusion_211,impactPunch_medium_002;impactPunch_medium_002,0.12;0.32,0.70;0.66,0.12;0.32
212,传奇·猪猪猪魔,Legendary,,,,,,BattleAttackFusion_212,impactPunch_medium_002;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.70;0.66;0.70,0.08;0.24;0.40
213,传奇·猪猪魔魔,Legendary,,,,,,BattleAttackFusion_213,impactPunch_medium_002;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.70;0.66;0.70,0.08;0.24;0.40
